frame.time_epoch,frame.len
1735835359.267982000,7306
1735835359.268592000,7306
1735835359.269185000,7306
1735835359.269801000,7306
1735835359.270445000,7306
1735835359.270984000,7306
1735835359.271605000,7306
1735835359.272191000,7306
1735835359.272831000,7306
1735835359.273460000,7306
1735835359.274027000,7306
1735835359.274631000,7306
1735835359.275235000,818
1735835359.314637000,66
1735835359.315105000,66
1735835359.315705000,66
1735835359.316285000,66
1735835359.316865000,66
1735835359.317525000,66
1735835359.318095000,66
1735835359.318740000,66
1735835359.319319000,66
1735835359.320015000,66
1735835359.320610000,66
1735835359.321090000,66
1735835359.321739000,66
1735835359.322315000,66
1735835359.323017000,66
1735835359.323590000,66
1735835359.324160000,66
1735835359.324750000,66
1735835359.325361000,66
1735835359.526361000,7306
1735835359.526870000,7306
1735835359.527485000,7306
1735835359.528070000,7306
1735835359.528755000,7306
1735835359.529274000,7306
1735835359.529892000,7306
1735835359.530543000,7306
1735835359.531094000,7306
1735835359.531720000,7306
1735835359.532316000,7306
1735835359.532940000,7306
1735835359.533526000,7306
1735835359.534131000,7306
1735835359.534779000,7306
1735835359.535343000,7306
1735835359.535951000,7306
1735835359.536570000,7306
1735835359.537173000,818
1735835359.576617000,66
1735835359.576958000,66
1735835359.577684000,66
1735835359.578212000,66
1735835359.578942000,66
1735835359.579399000,66
1735835359.580057000,66
1735835359.580755000,66
1735835359.581232000,66
1735835359.581798000,66
1735835359.582482000,66
1735835359.583144000,66
1735835359.583619000,66
1735835359.584334000,66
1735835359.584877000,66
1735835359.585485000,66
1735835359.586179000,66
1735835359.586797000,66
1735835359.587277000,66
1735835359.788229000,7306
1735835359.788720000,7306
1735835359.789357000,7306
1735835359.789931000,7306
1735835359.790554000,7306
1735835359.791137000,7306
1735835359.791743000,7306
1735835359.792353000,7306
1735835359.792991000,7306
1735835359.793567000,7306
1735835359.794184000,7306
1735835359.794774000,7306
1735835359.795377000,7306
1735835359.796005000,7306
1735835359.796599000,7306
1735835359.797200000,7306
1735835359.797801000,7306
1735835359.798418000,7306
1735835359.799033000,818
1735835359.838346000,66
1735835359.838778000,66
1735835359.839453000,66
1735835359.840030000,66
1735835359.840664000,66
1735835359.842278000,66
1735835359.842423000,66
1735835359.843098000,66
1735835359.843667000,66
1735835359.844262000,66
1735835359.844868000,66
1735835359.845480000,66
1735835359.846117000,66
1735835359.846677000,66
1735835359.847272000,66
1735835359.847925000,66
1735835359.848626000,66
1735835359.849171000,66
1735835360.050167000,7306
1735835360.050653000,7306
1735835360.051273000,7306
1735835360.051867000,7306
1735835360.052479000,7306
1735835360.053082000,7306
1735835360.053702000,7306
1735835360.054295000,7306
1735835360.054909000,7306
1735835360.055501000,7306
1735835360.056112000,7306
1735835360.056715000,7306
1735835360.057353000,7306
1735835360.057940000,7306
1735835360.058522000,7306
1735835360.059130000,7306
1735835360.059730000,7306
1735835360.060341000,7306
1735835360.060971000,818
1735835360.100428000,66
1735835360.100807000,66
1735835360.101386000,66
1735835360.102024000,66
1735835360.102718000,66
1735835360.103188000,66
1735835360.103812000,66
1735835360.104406000,66
1735835360.105043000,66
1735835360.105620000,66
1735835360.106235000,66
1735835360.106914000,66
1735835360.107474000,66
1735835360.110801000,66
1735835360.111145000,66
1735835360.312152000,7306
1735835360.312655000,7306
1735835360.313246000,7306
1735835360.313913000,7306
1735835360.314480000,7306
1735835360.315064000,7306
1735835360.315722000,7306
1735835360.316273000,7306
1735835360.316972000,7306
1735835360.317494000,7306
1735835360.318088000,7306
1735835360.318751000,7306
1735835360.319300000,7306
1735835360.319969000,7306
1735835360.320516000,7306
1735835360.321122000,7306
1735835360.321726000,7306
1735835360.322353000,7306
1735835360.322954000,818
1735835360.362340000,66
1735835360.362795000,66
1735835360.363397000,66
1735835360.364024000,66
1735835360.364615000,66
1735835360.365139000,66
1735835360.365877000,66
1735835360.366416000,66
1735835360.367178000,66
1735835360.367592000,66
1735835360.368194000,66
1735835360.368876000,66
1735835360.369446000,66
